type,id,score,info,name,phone,poi/categorySet/item/0/id,poi/categories/item/0,poi/categories/item/1,poi/classifications/item/0/code,poi/classifications/item/0/names/item/0/nameLocale,poi/classifications/item/0/names/item/0/name,poi/classifications/item/0/names/item/1/nameLocale,poi/classifications/item/0/names/item/1/name,streetNumber,streetName,municipality,countrySecondarySubdivision,countryTertiarySubdivision,countrySubdivision,countrySubdivisionName,postalCode,extendedPostalCode,countryCode,country,countryCodeISO3,freeformAddress,localName,lat,lon,viewport/topLeftPoint/lat,viewport/topLeftPoint/lon,viewport/btmRightPoint/lat,viewport/btmRightPoint/lon,entryPoints/item/0/type,entryPoints/item/0/position/lat,entryPoints/item/0/position/lon,poi/url,address/municipalitySubdivision,poi/brands/item/0/name
POI,US/POI/p0/4135678,2.1456298828125,search:ta:840099000989989-US,Masas,+(1)-(203)-4694962,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,192,Commerce St,East Haven,New Haven,East Haven,CT,Connecticut,06512,065124145,US,United States,USA,"192 Commerce St, East Haven, CT 06512",East Haven,41.25434,-72.87843,41.25524,-72.87963,41.25344,-72.87723,main,41.25428,-72.8782,,,
POI,US/POI/p0/4150014,2.1456298828125,search:ta:840099000984844-US,Bee Brook Water Co,+(1)-(860)-8689981,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,50,Bell Hill Rd,Washington,Litchfield,Washington,CT,Connecticut,06793,067931501,US,United States,USA,"50 Bell Hill Rd, Washington, CT 06793",Washington,41.63095,-73.29487,41.63185,-73.29607,41.63005,-73.29367,main,41.63084,-73.29555,,,
POI,US/POI/p0/1588478,2.145620107650757,search:ta:840259000457243-US,Rice Companies,+(1)-(413)-6250258,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,30,Conway St,Shelburne Falls,Franklin,Buckland,MA,Massachusetts,01370,013701197,US,United States,USA,"30 Conway St, Shelburne Falls, MA 01370",Shelburne Falls,42.6012,-72.73931,42.6021,-72.74053,42.6003,-72.73809,main,42.60133,-72.73917,,,
POI,US/POI/p0/4154622,2.145620107650757,search:ta:840099000147719-US,J & N Food And Grocery,+(1)-(203)-8651468,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,131,Lamberton Street,New Haven,New Haven,New Haven,CT,Connecticut,06519,065192519,US,United States,USA,"131 Lamberton Street, New Haven, CT 06519",New Haven,41.29072,-72.937,41.29162,-72.9382,41.28982,-72.9358,main,41.29067,-72.93699,,,
POI,US/POI/p0/1361790,2.1456100940704346,search:ta:840251000428567-US,Notting Hall,+(1)-(781)-3403388,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,502,Front St,Weymouth,Norfolk,Weymouth Town,MA,Massachusetts,02188,,US,United States,USA,"502 Front St, Weymouth, MA 02188",Weymouth,42.202,-70.95727,42.2029,-70.95848,42.2011,-70.95606,main,42.20195,-70.95821,nottinghall.com,,
POI,US/POI/p0/4066174,2.1456100940704346,search:ta:840091000284968-US,Center Market,+(1)-(860)-5241220,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,256,Albany Avenue,Hartford,Hartford,Hartford,CT,Connecticut,06120,061202808,US,United States,USA,"256 Albany Avenue, Hartford, CT 06120",Hartford,41.77655,-72.68086,41.77745,-72.68207,41.77565,-72.67965,main,41.77644,-72.68092,,,
POI,US/POI/p0/9742206,2.1456100940704346,search:ta:840449000006340-US,Woonsocket Market,+(1)-(401)-7691000,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,118,Main Street,Woonsocket,Providence,Woonsocket,RI,Rhode Island,02895,028954337,US,United States,USA,"118 Main Street, Woonsocket, RI 02895",Woonsocket,42.00233,-71.51467,42.00323,-71.51588,42.00143,-71.51346,main,42.00222,-71.51451,,,
POI,US/POI/p1/1178494,2.1456100940704346,search:ta:840259000400062-US,New Life,+(1)-(617)-4424237,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,415,Blue Hill Ave,Boston,Suffolk,Boston,MA,Massachusetts,02121,021214387,US,United States,USA,"415 Blue Hill Ave, Boston, MA 02121",Boston,42.3108,-71.08187,42.3117,-71.08309,42.3099,-71.08065,main,42.31072,-71.08165,,Dorchester,
POI,US/POI/p1/1192830,2.1456100940704346,search:ta:840259002415261-US,Azteca Market,+(1)-(781)-2095770,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,75,Pine St,Waltham,Middlesex,Waltham,MA,Massachusetts,02453,024535361,US,United States,USA,"75 Pine St, Waltham, MA 02453",Waltham,42.37078,-71.23356,42.37168,-71.23478,42.36988,-71.23234,main,42.37096,-71.23348,,,
POI,US/POI/p1/1349502,2.1456100940704346,search:ta:840251000459876-US,Jimmys Convenience Store,+(1)-(978)-9576500,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,286,Pleasant St,Dracut,Middlesex,Dracut,MA,Massachusetts,01826,018264919,US,United States,USA,"286 Pleasant St, Dracut, MA 01826",Dracut,42.66489,-71.31386,42.66579,-71.31508,42.66399,-71.31264,main,42.66489,-71.31386,,,
POI,US/POI/p0/1362302,2.1456000804901123,search:ta:840259002277166-US,7-Eleven,+(1)-(781)-8711422,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,2,Brockton Ave,Abington,Plymouth,Abington,MA,Massachusetts,02351,023511925,US,United States,USA,"2 Brockton Ave, Abington, MA 02351",Abington,42.10551,-70.94707,42.10641,-70.94828,42.10461,-70.94586,main,42.10583,-70.94682,https://www.7-eleven.com/locations/ma/abington/2-brockton-ave-32437,,7-Eleven
POI,US/POI/p0/1500798,2.1456000804901123,search:ta:840259001372757-US,Village Market,+(1)-(781)-2359700,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,9,Washington St,Wellesley,Norfolk,Wellesley,MA,Massachusetts,02481,024811703,US,United States,USA,"9 Washington St, Wellesley, MA 02481",Wellesley,42.32537,-71.25968,42.32627,-71.2609,42.32447,-71.25846,main,42.32518,-71.25966,ucook.com,Wellesley Hills,
POI,US/POI/p0/1504894,2.1456000804901123,search:ta:840259001314713-US,Blue Fire Coffee Roasters,+(1)-(508)-4783473,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,4,Rosenfeld Dr,Hopedale,Worcester,Hopedale,MA,Massachusetts,01747,017472117,US,United States,USA,"4 Rosenfeld Dr, Hopedale, MA 01747",Hopedale,42.10511,-71.51573,42.10601,-71.51694,42.10421,-71.51452,main,42.10552,-71.51585,,,
POI,US/POI/p0/1507710,2.1456000804901123,search:ta:840251000470875-US,Happy Family Food Market,+(1)-(617)-5421488,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,11,Hudson St,Boston,Suffolk,Boston,MA,Massachusetts,02111,021111973,US,United States,USA,"11 Hudson St, Boston, MA 02111",Boston,42.35086,-71.06023,42.35176,-71.06145,42.34996,-71.05901,main,42.35082,-71.06005,www.a2zbizonline.com/jiale.html,Chinatown,
POI,US/POI/p0/1513854,2.1456000804901123,search:ta:840259002311783-US,7-Eleven,+(1)-(413)-5322021,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,426,Newton St,South Hadley,Hampshire,South Hadley,MA,Massachusetts,01075,010752330,US,United States,USA,"426 Newton St, South Hadley, MA 01075",South Hadley,42.23422,-72.58445,42.23512,-72.58566,42.23332,-72.58324,main,42.23413,-72.58414,https://www.7-eleven.com/locations/ma/south-hadley/426-newton-st-15405,,7-Eleven
POI,US/POI/p0/4066942,2.1456000804901123,search:ta:840099000253492-US,Halal Food Market,+(1)-(860)-5600722,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,398,Windsor Avenue,Windsor,Hartford,Windsor,CT,Connecticut,06095,060954467,US,United States,USA,"398 Windsor Avenue, Windsor, CT 06095",Windsor,41.81408,-72.65683,41.81498,-72.65804,41.81318,-72.65562,main,41.81458,-72.65692,,,
POI,US/POI/p0/4138366,2.1456000804901123,search:ta:840099000334396-US,1872 Middletown Ave,+(1)-(203)-2080852,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,1872,Middletown Ave,Northford,New Haven,North Branford,CT,Connecticut,06472,064721172,US,United States,USA,"1872 Middletown Ave, Northford, CT 06472",Northford,41.41224,-72.76031,41.41314,-72.76151,41.41134,-72.75911,main,41.41178,-72.76011,,,
POI,US/POI/p1/1170046,2.1456000804901123,search:ta:840259001191572-US,Absolutely Juiced,+(1)-(508)-5398700,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,6,North Way,Mashpee,Barnstable,Mashpee,MA,Massachusetts,02649,,US,United States,USA,"6 North Way, Mashpee, MA 02649",Mashpee,41.6096,-70.48467,41.6105,-70.48587,41.6087,-70.48347,main,41.6096,-70.48431,,,
POI,US/POI/p1/1195390,2.1456000804901123,search:ta:840259001291097-US,Daddy's Dairy,+(1)-(781)-8480048,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,120,Union St,Braintree,Norfolk,Braintree Town,MA,Massachusetts,02184,,US,United States,USA,"120 Union St, Braintree, MA 02184",Braintree,42.20943,-70.99973,42.21033,-71.00094,42.20853,-70.99852,main,42.20929,-70.99964,,,
POI,US/POI/p1/9901694,2.1456000804901123,search:ta:840509000125941-US,Saxton's River Distillery,+(1)-(802)-2461128,9361066,shop,wholesale clubs,SHOP,en-US,shop,en-US,wholesale clubs,485,W River Rd,Brattleboro,Windham,Brattleboro,VT,Vermont,05301,053019006,US,United States,USA,"485 W River Rd, Brattleboro, VT 05301",Brattleboro,42.87954,-72.57643,42.88044,-72.57766,42.87864,-72.5752,main,42.87922,-72.57673,www.saplingliqueur.com,,
POI,US/POI/p0/1356414,2.14559006690979,search:ta:840251000499631-US,D & D Convenience Store,+(1)-(617)-2889501,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,1002,Dorchester Ave,Boston,Suffolk,Boston,MA,Massachusetts,02125,021251314,US,United States,USA,"1002 Dorchester Ave, Boston, MA 02125",Boston,42.31648,-71.05644,42.31738,-71.05766,42.31558,-71.05522,main,42.31648,-71.05669,,Dorchester,
POI,US/POI/p0/1509502,2.14559006690979,search:ta:840259002407310-US,Alltown,+(1)-(413)-4365648,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,1300,Main St,Warren,Worcester,Warren,MA,Massachusetts,01083,,US,United States,USA,"1300 Main St, Warren, MA 01083",Warren,42.21594,-72.20572,42.21684,-72.20693,42.21504,-72.20451,main,42.21551,-72.20616,https://www.alltown.com/locator,,
POI,US/POI/p0/4137598,2.14559006690979,search:ta:840091000364291-US,Branford Green Grocer,+(1)-(203)-2083270,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,1036,Main St,Branford Center,New Haven,Branford,CT,Connecticut,06405,064053732,US,United States,USA,"1036 Main St, Branford Center, CT 06405",Branford Center,41.28225,-72.81103,41.28315,-72.81223,41.28135,-72.80983,main,41.28215,-72.81088,,,
POI,US/POI/p0/4154494,2.14559006690979,search:ta:840091000350662-US,Sofrito Ponce,+(1)-(203)-7776937,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,145,Adeline St,New Haven,New Haven,New Haven,CT,Connecticut,06519,065192037,US,United States,USA,"145 Adeline St, New Haven, CT 06519",New Haven,41.29348,-72.94354,41.29438,-72.94474,41.29258,-72.94234,main,41.29344,-72.94352,www.sofritoponce.com,,
POI,US/POI/p0/4158398,2.14559006690979,search:ta:840099000082628-US,Chat Chew & Chocolate,+(1)-(860)-5387375,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,482,East Street,New Britain,Hartford,New Britain,CT,Connecticut,06051,060517202,US,United States,USA,"482 East Street, New Britain, CT 06051",New Britain,41.66623,-72.76589,41.66713,-72.76709,41.66533,-72.76469,main,41.66625,-72.76547,,,
POI,US/POI/p0/9599934,2.14559006690979,search:ta:840339000139461-US,J-Don's Variety,+(1)-(603)-8895742,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,,Rt 111 W,Nashua,Hillsborough,Nashua,NH,New Hampshire,03062,,US,United States,USA,"Rt 111 W, Nashua, NH 03062",Nashua,42.71913,-71.53518,42.72003,-71.5364,42.71823,-71.53396,main,42.71911,-71.53516,www.citgo.com,,
POI,US/POI/p0/9745022,2.14559006690979,search:ta:840449000310524-US,Cumberland Farms,+(1)-(401)-7821896,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,909,Boston Neck Rd,Narragansett,Washington,Narragansett,RI,Rhode Island,02882,028821758,US,United States,USA,"909 Boston Neck Rd, Narragansett, RI 02882",Narragansett,41.47584,-71.43454,41.47674,-71.43574,41.47494,-71.43334,main,41.47565,-71.43514,www.cumberlandfarms.com,,Cumberland Farms
POI,US/POI/p1/1169342,2.14559006690979,search:ta:840259000127584-US,South River Miso Co,+(1)-(413)-3694057,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,888,Shelburne Falls Rd,Conway,Franklin,Conway,MA,Massachusetts,01341,013419662,US,United States,USA,"888 Shelburne Falls Rd, Conway, MA 01341",Conway,42.53191,-72.70062,42.53281,-72.70184,42.53101,-72.6994,main,42.53186,-72.70098,www.southrivermiso.com,,
POI,US/POI/p1/1178750,2.14559006690979,search:ta:840259002262285-US,APlus,+(1)-(978)-5346190,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,701,Central St,Leominster,Worcester,Leominster,MA,Massachusetts,01453,014536100,US,United States,USA,"701 Central St, Leominster, MA 01453",Leominster,42.50347,-71.74766,42.50437,-71.74888,42.50257,-71.74644,main,42.50364,-71.7474,https://www.sunoco.com,,APlus
POI,US/POI/p1/1187966,2.14559006690979,search:ta:840259000752905-US,Perry Vintage Toys and Convenience,+(1)-(774)-6289947,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,274,Cedar St,New Bedford,Bristol,New Bedford,MA,Massachusetts,02740,027404589,US,United States,USA,"274 Cedar St, New Bedford, MA 02740",New Bedford,41.64384,-70.93613,41.64474,-70.93733,41.64294,-70.93493,main,41.6438,-70.93631,,,
POI,US/POI/p1/1343422,2.14559006690979,search:ta:840251000561805-US,Himalayan Salt Company,+(1)-(508)-8450033,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,167,Memorial Dr,Shrewsbury,Worcester,Shrewsbury,MA,Massachusetts,01545,0154562,US,United States,USA,"167 Memorial Dr, Shrewsbury, MA 01545",Shrewsbury,42.25691,-71.70981,42.25781,-71.71103,42.25601,-71.70859,main,42.25695,-71.71162,,,
POI,US/POI/p1/4153470,2.14559006690979,search:ta:840099000510213-US,Sandwichon Grocery 2,+(1)-(860)-5600446,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,874,Park St,Hartford,Hartford,Hartford,CT,Connecticut,06106,061062330,US,United States,USA,"874 Park St, Hartford, CT 06106",Hartford,41.75828,-72.69196,41.75918,-72.69317,41.75738,-72.69075,main,41.75814,-72.69196,,Frog Hollow,
POI,US/POI/p1/4165566,2.14559006690979,search:ta:840099001208294-US,Enfield Food Mart,+(1)-(860)-6986409,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,935,Enfield St,Thompsonville,Hartford,Enfield,CT,Connecticut,06082,,US,United States,USA,"935 Enfield St, Thompsonville, CT 06082",Thompsonville,41.99634,-72.59409,41.99724,-72.5953,41.99544,-72.59288,main,41.99631,-72.59444,,,
POI,US/POI/p0/1358270,2.1455800533294678,search:ta:840259000251986-US,Anh Enterprises,+(1)-(781)-2314995,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,465,Essex St,Saugus,Essex,Saugus,MA,Massachusetts,01906,019062274,US,United States,USA,"465 Essex St, Saugus, MA 01906",Saugus,42.46115,-71.03648,42.46205,-71.0377,42.46025,-71.03526,main,42.46088,-71.03666,,,
POI,US/POI/p0/1448638,2.1455800533294678,search:ta:840251000453719-US,La Favorita Market,+(1)-(617)-2540177,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,66,Harvard Ave,Boston,Suffolk,Boston,MA,Massachusetts,02134,021341771,US,United States,USA,"66 Harvard Ave, Boston, MA 02134",Boston,42.35399,-71.13204,42.35489,-71.13326,42.35309,-71.13082,main,42.35395,-71.13232,,Allston,
POI,US/POI/p0/1451454,2.1455800533294678,search:ta:840259002368820-US,Reading Quick Stop,+(1)-(781)-9442440,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,519,Main Street,Reading,Middlesex,Reading,MA,Massachusetts,01867,018673161,US,United States,USA,"519 Main Street, Reading, MA 01867",Reading,42.52227,-71.10276,42.52317,-71.10398,42.52137,-71.10154,main,42.52228,-71.10313,,,
POI,US/POI/p0/1501886,2.1455800533294678,search:ta:840259000337316-US,One Stop Market,+(1)-(781)-3498499,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,914,Washington St,Norwood,Norfolk,Norwood,MA,Massachusetts,02062,020626601,US,United States,USA,"914 Washington St, Norwood, MA 02062",Norwood,42.18569,-71.20291,42.18659,-71.20412,42.18479,-71.2017,main,42.1857,-71.20313,,,
POI,US/POI/p0/1526974,2.1455800533294678,search:ta:840259002326397-US,The Village General Store,+(1)-(508)-2248180,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,700,State Rd,Plymouth,Plymouth,Plymouth,MA,Massachusetts,02360,023605108,US,United States,USA,"700 State Rd, Plymouth, MA 02360",Plymouth,41.91735,-70.55737,41.91825,-70.55858,41.91645,-70.55616,main,41.91712,-70.55752,,,
POI,US/POI/p0/4065982,2.1455800533294678,search:ta:840091000352767-US,Productos Hispanos Texas,+(1)-(860)-5272848,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,624,Park Street,Hartford,Hartford,Hartford,CT,Connecticut,06106,061064615,US,United States,USA,"624 Park Street, Hartford, CT 06106",Hartford,41.75816,-72.68729,41.75906,-72.6885,41.75726,-72.68608,main,41.75806,-72.68731,,Frog Hollow,
POI,US/POI/p0/4066494,2.1455800533294678,search:ta:840099000741139-US,Veras Market,+(1)-(860)-9042776,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,241,Wethersfield Avenue,Hartford,Hartford,Hartford,CT,Connecticut,06114,061141194,US,United States,USA,"241 Wethersfield Avenue, Hartford, CT 06114",Hartford,41.74921,-72.67395,41.75011,-72.67516,41.74831,-72.67274,main,41.74923,-72.67367,,Barry Square,
POI,US/POI/p0/4138174,2.1455800533294678,search:ta:840099000524177-US,Uncle Louie G,+(1)-(203)-2348748,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,344,Washington Ave,North Haven,New Haven,North Haven,CT,Connecticut,06473,064731308,US,United States,USA,"344 Washington Ave, North Haven, CT 06473",North Haven,41.40654,-72.84527,41.40744,-72.84647,41.40564,-72.84407,main,41.40663,-72.8455,,,
POI,US/POI/p0/4146878,2.1455800533294678,search:ta:840099000238287-US,Peachwave,+(1)-(475)-2352360,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,3670,E Main St,Waterbury,New Haven,Waterbury,CT,Connecticut,06705,067053870,US,United States,USA,"3670 E Main St, Waterbury, CT 06705",Waterbury,41.54247,-72.96666,41.54337,-72.96786,41.54157,-72.96546,main,41.54321,-72.96717,www.peachwaveyogurt.com,Pierpoint Road,
POI,US/POI/p0/4154814,2.1455800533294678,search:ta:840091000231859-US,R & L Grocery Store,+(1)-(203)-5625096,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,151,Portsea Street,New Haven,New Haven,New Haven,CT,Connecticut,06519,065192207,US,United States,USA,"151 Portsea Street, New Haven, CT 06519",New Haven,41.29756,-72.93039,41.29846,-72.93159,41.29666,-72.92919,main,41.29751,-72.93038,,,
POI,US/POI/p0/9742782,2.1455800533294678,search:ta:840449000263371-US,Jw Mini Market,+(1)-(401)-2314949,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,146,Waterman Ave,North Providence,Providence,North Providence,RI,Rhode Island,02911,029111090,US,United States,USA,"146 Waterman Ave, North Providence, RI 02911",North Providence,41.86458,-71.48909,41.86548,-71.4903,41.86368,-71.48788,main,41.86465,-71.48892,,,
POI,US/POI/p1/1166782,2.1455800533294678,search:ta:840259001112693-US,Caribbean,+(1)-(617)-5067590,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,558,Washington St,Boston,Suffolk,Boston,MA,Massachusetts,02124,021246945,US,United States,USA,"558 Washington St, Boston, MA 02124",Boston,42.29215,-71.07152,42.29305,-71.07274,42.29125,-71.0703,main,42.29214,-71.07175,,Dorchester Center,
POI,US/POI/p1/1170110,2.1455800533294678,search:ta:840259002126190-US,San Antonio Snacks By Tom's Snacks,+(1)-(210)-2271702,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,939,Boylston St,Boston,Suffolk,Boston,MA,Massachusetts,02115,021153192,US,United States,USA,"939 Boylston St, Boston, MA 02115",Boston,42.34828,-71.08502,42.34918,-71.08624,42.34738,-71.0838,main,42.34804,-71.08491,,Back Bay,
POI,US/POI/p1/1179070,2.1455800533294678,search:ta:840259000995066-US,Jd & E Ecom,+(1)-(774)-7773958,9361066,shop,wholesale clubs,SHOP,en-US,shop,en-US,wholesale clubs,92,Blandin Ave,Framingham,Middlesex,Framingham,MA,Massachusetts,01702,017027072,US,United States,USA,"92 Blandin Ave, Framingham, MA 01702",Framingham,42.27456,-71.40934,42.27546,-71.41056,42.27366,-71.40812,main,42.27434,-71.41079,,,
POI,US/POI/p1/1191102,2.1455800533294678,search:ta:840259001098798-US,7-Eleven,+(1)-(508)-2383984,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,11,Columbus Ave,North Easton,Bristol,Easton,MA,Massachusetts,02356,023561819,US,United States,USA,"11 Columbus Ave, North Easton, MA 02356",North Easton,42.06023,-71.10326,42.06113,-71.10447,42.05933,-71.10205,main,42.06002,-71.10324,www.7-eleven.com,,7-Eleven
